,بخش,میانگین ارزش طول عمر,میانگین مبلغ خالص فاکتور,میانگین تعدا خرید در ماه,میانگین طول عمر مشتری
0,میانگین,141831.4814814815,658766.6666666666,0.11784511784511786,0.04000000000000001
1,Potantial loyalist,33750.0,67500.0,0.06060606060606061,0.04
2,Loyal,86966.66666666667,521800.0,0.18181818181818182,0.06
3,New Customer,84150.0,168300.0,0.06060606060606061,0.06
4,Hibernating,135000.0,135000.0,0.030303030303030304,0.02
5,Champions,108200.0,757400.0,0.21212121212121213,0.03
6,Lost,64500.0,193500.0,0.09090909090909091,0.07
7,About to sleep,80300.0,321200.0,0.12121212121212122,0.05
8,At risk,168750.0,675000.0,0.12121212121212122,0.01
9,Promising,514866.6666666667,3089200.0,0.18181818181818182,0.02
