,labels,sale_factor_count,rejected_factor_count,factor_product_average,factor_rows_average,factor_amount_average,factor_amount_product_average,customer_income_average,gross_sale,factor_product_count,factor_product_weight,factor_commisions,pure_factor_counts,pure_gross_sale,gross_rejected,pure_sale,rejected_product_count,pure_product_count,rejedted_product_weight,users_count,new_users_count,old_users_count,percent_users,percent_rejected_count,percent_rejected_amount,sum_discount,gross_new_users
0,امیدوارکننده,6,2,9.166666666666666,8.166666666666666,514866.6666666667,59135.84905660377,416525.0,3089200,55,20210,0,4,3332200,243000,3089200,5,60,1020,8,8,0,0.0,0.09090909090909091,0.07866114204324744,0,3089200
1,خواب زمستانی,1,0,1.0,1.0,135000.0,135000.0,135000.0,135000,1,400,0,1,135000,0,135000,0,1,0,1,1,0,0.0,0.0,0.0,0,135000
2,خواب آلود,4,1,1.0,1.0,80300.0,62533.333333333336,75040.0,321200,4,1620,0,3,375200,54000,321200,2,6,720,5,5,0,0.0,0.5,0.16811955168119552,0,321200
3,قهرمان,7,0,1.5714285714285714,1.5714285714285714,108200.0,68854.54545454546,252466.66666666666,757400,11,4970,0,7,757400,0,757400,0,11,0,3,3,0,0.0,0.0,0.0,0,757400
4,وفادار,6,0,2.0,1.6666666666666667,86966.66666666667,45340.0,260900.0,521800,12,2380,0,6,521800,0,521800,0,12,0,2,2,0,0.0,0.0,0.0,0,521800
5,رویگردانان,3,1,1.0,1.0,64500.0,55125.0,55125.0,193500,3,550,0,2,220500,27000,193500,1,4,360,4,4,0,0.0,0.3333333333333333,0.13953488372093023,0,193500
6,تازه وارد,2,3,2.0,2.0,84150.0,44785.71428571428,62700.0,168300,4,1560,0,-1,313500,145200,168300,3,7,810,5,5,0,0.0,0.75,0.8627450980392157,0,168300
7,در معرض خطر,4,0,2.0,1.5,168750.0,90000.0,337500.0,675000,8,1400,0,4,675000,0,675000,0,8,0,2,2,0,0.0,0.0,0.0,0,675000
8,به سوی وفاداری,2,0,1.0,1.0,33750.0,33750.0,67500.0,67500,2,270,0,2,67500,0,67500,0,2,0,1,1,0,0.0,0.0,0.0,0,67500
9,نیازمند توجه,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
10,از دست ندهید,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
11,غیر فعال,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
